w_connect,w_block,w_center,win_rate_vs_random,wins_vs_random,losses_vs_random,draws_vs_random,avg_turns_win_vs_random,avg_turns_loss_vs_random,win_rate_vs_intuitive_gamer,wins_vs_intuitive_gamer,losses_vs_intuitive_gamer,draws_vs_intuitive_gamer,avg_turns_win_vs_intuitive_gamer,avg_turns_loss_vs_intuitive_gamer,win_rate_vs_mcts,wins_vs_mcts,losses_vs_mcts,draws_vs_mcts,avg_turns_win_vs_mcts,avg_turns_loss_vs_mcts
0.2,0.8,1.6,0.76,38,9,3,6.68,6.89,0.52,26,22,2,7.0,6.82,0.14,7,29,14,5.86,6.69
0.2,0.8,1.8,0.74,37,7,6,6.78,7.71,0.56,28,20,2,6.64,6.4,0.18,9,33,8,6.56,7.03
0.2,0.8,2.0,0.8,40,8,2,6.8,7.25,0.66,33,12,5,6.76,6.67,0.12,6,31,13,6.67,6.65
0.2,1.0,0.0,0.66,33,11,6,7.0,6.91,0.38,19,26,5,6.37,6.31,0.16,8,34,8,6.5,6.94
0.2,1.0,0.2,0.64,32,15,3,7.0,7.6,0.44,22,27,1,6.82,6.52,0.18,9,35,6,5.22,6.57
0.2,1.0,0.4,0.68,34,11,5,7.29,7.27,0.58,29,19,2,6.72,6.21,0.16,8,38,4,6.25,6.95
0.2,1.0,0.6,0.82,41,5,4,6.76,6.8,0.5,25,24,1,6.36,6.58,0.1,5,41,4,6.2,6.78
0.2,1.0,0.8,0.7,35,10,5,7.11,7.2,0.52,26,23,1,6.62,6.52,0.14,7,39,4,6.14,6.72
0.2,1.0,1.0,0.86,43,6,1,6.35,7.67,0.4,20,29,1,6.5,6.34,0.26,13,31,6,6.23,6.58
0.2,1.0,1.2,0.78,39,9,2,6.74,7.56,0.52,26,22,2,6.69,6.45,0.12,6,37,7,5.67,6.92
0.2,1.0,1.4,0.8,40,5,5,6.9,7.6,0.52,26,20,4,6.46,6.7,0.18,9,33,8,5.44,6.97
0.2,1.0,1.6,0.66,33,11,6,6.21,6.55,0.52,26,22,2,6.85,6.64,0.2,10,30,10,6.2,6.8
0.2,1.0,1.8,0.72,36,10,4,6.44,7.6,0.48,24,22,4,7.08,6.91,0.06,3,41,6,6.33,6.78
0.2,1.0,2.0,0.72,36,10,4,6.72,7.6,0.58,29,19,2,6.31,6.95,0.16,8,32,10,5.5,7.19
0.2,1.2,0.0,0.56,28,18,4,6.86,7.56,0.64,32,17,1,6.25,6.12,0.16,8,39,3,5.5,6.67
